lastName,firstName,middleName,degree,designation,academicTitle,institution,additionalTitle,department1,department2,googleScholar,email,phone,office,website,avatar,bio
Carnevale,Vincenzo,,PhD,core,,Temple University,,Department of Biology,,,,,,https://vincenzocarnevale.wordpress.com/,vincenzo_carneva.jpg,
Hey,Jody,,PhD,core,,Temple University,,Department of Biology,,,,,,https://bio.cst.temple.edu/~hey/,jody_hey.jpg,
Kulathinal,Rob,,PhD,core,,Temple University,,Department of Biology,,,,,,https://www.cst.temple.edu/~robie/bioinform/index.html,rob_kulathinal.jpg,
Pond,Sergei,,PhD,core,,Temple University,,Department of Biology,,,,,,https://bio.cst.temple.edu/cgi-bin/get_person?email=spond@temple.edu,sergei_pond.jpg,
Vucetic,Slobodan,,PhD,core,,Temple University,,Department of Computer & Information Sciences,,,,,,,slobodan_vucetic.jpg,
Voelz,Vincent,,PhD,core,,Temple University,,Department of Chemistry,,,,,,http://www.voelzlab.org/,vincent_voelz.jpg,
Behm,Jocelyn,,PhD,associated,,,,Department of Biology,,,,,,http://www.iecolab.org/,no-image.svg,
Carnevale,Vincenzo,,PhD,associated,,,,Department of Biology,,,,,,,no-image.svg,
Dunbrack,Roland,,PhD,associated,,,,"Kidney, Bladder, & Prostate Cancer Translational Research Disease Group",Fox Chase Cancer Center,,,,,https://www.foxchase.org/roland-dunbrack-jr,,
Engel,Nora,,PhD,associated,,,,Fels Institute for Cancer Research & Molecular Biology,Lewis Katz School of Medicine at Temple University,,,,,https://medicine.temple.edu/nora-engel,,
Escalante,Ananias,,PhD,associated,,,,Department of Biology,,,,,,https://bio.cst.temple.edu/cgi-bin/get_person?email=Ananias.Escalante@temple.edu,ananias_escalante.jpg,
Gerhard,Glenn,,MD,associated,,,,Department of Medical Genetics & Molecular Biochemistry,Lewis Katz School of Medicine at Temple University,,,,,https://doctors.templehealth.org/doctor/glenn-s-gerhard#about,,
Hedges,Blair,,PhD,associated,,,,Department of Biology,,,,,,http://www.hedgeslab.org/sbh.php,no-image.svg,
Helmus,Matt,,PhD,associated,,,,Department of Biology,,,,,,https://www.iecolab.org/,no-image.svg,
Hey,Jody,,PhD,associated,,,,Department of Biology,,,,,,https://bio.cst.temple.edu/~hey/,jody_hey.jpg,
Issa,Jean-Pierre,,MD,associated,,,,Fels Institute for Cancer Research & Molecular Biology,Lewis Katz School of Medicine at Temple University,,,,,https://medicine.temple.edu/jean-pierre-issa,,
Kulathinal,Rob,,PhD,associated,,,,Department of Biology,,,,,,https://www.cst.temple.edu/~robie/bioinform/index.html,rob_kulathinal.jpg,
Kumar,Sudhir,,PhD,associated,,,,Department of Biology,,,,,,http://www.kumarlab.net/,sudhir_kumar.jpg,
Levy,Ron,,PhD,associated,,,,Department of Chemistry,,,,,,https://chem.cst.temple.edu/levy.html,no-image.svg,
Liberles,David,,PhD,associated,,,,Department of Biology,,,,,,https://sites.temple.edu/liberles/,no-image.svg,
Obradovic,Zoran,,PhD,associated,,,,Department of Computer Sciences,,,,,,http://www.dabi.temple.edu/~zoran/,no-image.svg,
Pond,Sergei,,PhD,associated,,,,Department of Biology,,,,,,https://bio.cst.temple.edu/cgi-bin/get_person?email=spond@temple.edu,sergei_pond.jpg,
Ragin,Camille,,"PhD, MPH",associated,,,,Head & Neck Cancer Translational Research Disease Group,Fox Chase Cancer Center,,,,,https://www.foxchase.org/people/camille-ragin,,
Schraiber,Joshua,,PhD,associated,,,,Department of Biology,,,,,,,no-image.svg,
Souvenir,Richard,,PhD,associated,,,,Department of Computer Sciences,,,,,,https://cis.temple.edu/~souvenir/,no-image.svg,
Spigler,Rachel,,PhD,associated,,,,Department of Biology,,,,,,http://rachelspigler.weebly.com/,no-image.svg,
Voelz,Vincent,,PhD,associated,,,,Department of Chemistry,,,,,,http://www.voelzlab.org/,no-image.svg,
Vucetic,Slobodan,,PhD,associated,,,,Department of Computer & Information Sciences,College of Science & Technology,,,,,http://www.dabi.temple.edu/~vucetic/,,
Yang,Ling,,PhD,associated,,,,Department of Medical Genetics & Molecular Biochemistry,Lewis Katz School of Medicine at Temple University,,,,,https://medicine.temple.edu/ling-yang,,
Zhang,Kai,,PhD,associated,,,,Department of Computer & Information Sciences,College of Science & Technology,,,,,https://cis.temple.edu/user/635,,
